iin_isam_id,logical_group,post_identifier,process_id,ticket_id,pending,naked,acked_with_failures
63359709580126,SE - S&B ATG Group 1,000130000007,10503,26,11,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,10504,26,11,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,10504,26,11,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,10505,27,11,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,10505,27,11,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,10505,27,11,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,10505,27,11,0,0
63359709580008,SE - Cubic ATG - Staging - Group 1,000130000007,11878,1,21,0,0
63359709580009,SE - Cubic ATG - Staging - Group 1,000121-16ccae,11878,1,21,0,0
6335970958000C,SE - Cubic ATG - Staging - Group 1,000130000007,11878,1,21,0,0
6335970958000A,SE - Cubic ATG - Staging - Group 1,000130000007,11879,1,21,0,0
63359709580037,SE - Cubic ATG - Staging - Group 2,000130000007,11880,2,21,0,0
63359709580038,SE - Cubic ATG - Staging - Group 2,000130000007,11880,2,21,0,0
63359709580039,SE - Cubic ATG - Staging - Group 2,000130000007,11880,2,21,0,0
6335970958003A,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11881,3,21,0,0
6335970958003B,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11881,3,21,0,0
6335970958003C,SE - Cubic ATG - Staging - Group 3,000130000007,11881,3,21,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11882,4,21,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11884,6,21,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11884,6,21,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11885,6,21,0,0
63359709580035,SE - S&B TVM - Group 2 H3,000130000007,11886,7,21,0,0
63359709580036,SE - S&B TVM - Group 2 H3,000130000007,11886,7,21,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,11887,8,21,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,11887,8,21,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,11887,8,21,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,11887,8,21,0,0
63359709580007,SE - Cubic ATG - Staging - Group 1,000121-16c184,11889,10,0,0,3
63359709580008,SE - Cubic ATG - Staging - Group 1,000130000007,11889,10,36,0,0
63359709580009,SE - Cubic ATG - Staging - Group 1,000121-16ccae,11889,10,36,0,0
6335970958000B,SE - Cubic ATG - Staging - Group 1,000121-16ccae,11889,10,0,0,5
6335970958000C,SE - Cubic ATG - Staging - Group 1,000130000007,11889,10,36,0,0
6335970958000A,SE - Cubic ATG - Staging - Group 1,000130000007,11890,10,36,0,0
63359709580037,SE - Cubic ATG - Staging - Group 2,000130000007,11891,11,36,0,0
63359709580038,SE - Cubic ATG - Staging - Group 2,000130000007,11891,11,36,0,0
63359709580039,SE - Cubic ATG - Staging - Group 2,000130000007,11891,11,36,0,0
6335970958003A,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11892,12,36,0,0
6335970958003B,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11892,12,36,0,0
6335970958003C,SE - Cubic ATG - Staging - Group 3,000130000007,11892,12,36,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11893,13,36,0,0
633597095800D1,SE - Cubic PVAL - Staging - Group 1,000121-16c17b,11894,14,0,0,2
63359709580125,SE - S&B ATG Group 1,000130000007,11895,15,31,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11895,15,31,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11896,15,31,0,0
63359709580034,SE - S&B TVM - Group 2 H3,000243-039073,11897,16,0,0,2
63359709580035,SE - S&B TVM - Group 2 H3,000130000007,11897,16,36,0,0
63359709580036,SE - S&B TVM - Group 2 H3,000130000007,11897,16,36,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,11898,17,31,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,11898,17,31,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,11898,17,31,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,11898,17,31,0,0
63359709580008,SE - Cubic ATG - Staging - Group 1,000130000007,11900,19,31,0,0
63359709580009,SE - Cubic ATG - Staging - Group 1,000121-16ccae,11900,19,31,0,0
6335970958000C,SE - Cubic ATG - Staging - Group 1,000130000007,11900,19,31,0,0
6335970958000A,SE - Cubic ATG - Staging - Group 1,000130000007,11901,19,31,0,0
63359709580037,SE - Cubic ATG - Staging - Group 2,000130000007,11902,20,31,0,0
63359709580038,SE - Cubic ATG - Staging - Group 2,000130000007,11902,20,31,0,0
63359709580039,SE - Cubic ATG - Staging - Group 2,000130000007,11902,20,31,0,0
6335970958003A,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11903,21,31,0,0
6335970958003B,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11903,21,31,0,0
6335970958003C,SE - Cubic ATG - Staging - Group 3,000130000007,11903,21,31,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11904,22,31,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11906,24,31,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11906,24,31,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11907,24,31,0,0
63359709580035,SE - S&B TVM - Group 2 H3,000130000007,11908,25,31,0,0
63359709580036,SE - S&B TVM - Group 2 H3,000130000007,11908,25,31,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,11909,26,31,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,11909,26,31,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,11909,26,31,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,11909,26,31,0,0
63359709580008,SE - Cubic ATG - Staging - Group 1,000130000007,11911,28,21,0,0
63359709580009,SE - Cubic ATG - Staging - Group 1,000121-16ccae,11911,28,21,0,0
6335970958000C,SE - Cubic ATG - Staging - Group 1,000130000007,11911,28,21,0,0
6335970958000A,SE - Cubic ATG - Staging - Group 1,000130000007,11912,28,21,0,0
63359709580037,SE - Cubic ATG - Staging - Group 2,000130000007,11913,29,21,0,0
63359709580038,SE - Cubic ATG - Staging - Group 2,000130000007,11913,29,21,0,0
63359709580039,SE - Cubic ATG - Staging - Group 2,000130000007,11913,29,21,0,0
6335970958003A,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11914,30,21,0,0
6335970958003B,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11914,30,21,0,0
6335970958003C,SE - Cubic ATG - Staging - Group 3,000130000007,11914,30,21,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11915,31,21,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11917,33,21,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11917,33,21,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11918,33,21,0,0
63359709580035,SE - S&B TVM - Group 2 H3,000130000007,11919,34,21,0,0
63359709580036,SE - S&B TVM - Group 2 H3,000130000007,11919,34,21,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,11920,35,21,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,11920,35,21,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,11920,35,21,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,11920,35,21,0,0
63359709580008,SE - Cubic ATG - Staging - Group 1,000130000007,11922,37,21,0,0
63359709580009,SE - Cubic ATG - Staging - Group 1,000121-16ccae,11922,37,21,0,0
